MonomerID,Reactant_set_id,SMILES,LigandName,pIC50,bioactivity,CSK frequency,Murcko frequency
166387,309975,CNC(=O)C(N(C)C(=O)c1ccc(cc1)-c1ccc(NC)cc1)C(=O)NO,"US9073821, 2",8.149,active,94,78
166391,309979,CNC(=O)C(N(C)C(=O)c1ccc(cc1)-c1ccc(F)cc1)C(=O)NO,"US9073821, 6",8.149,active,94,78
166395,309983,CNC(=O)C(N(C)C(=O)c1ccc(cc1)-c1ccc(cc1)N(C)C)C(=O)NO,"US9073821, 43",8.143,active,94,78
166386,309974,CNC(=O)C(N(C)C(=O)c1ccc(cc1)-c1ccccc1)C(=O)NO,"US9073821, 1",8.114,active,94,78
166399,309987,CNC(=O)C(N(C)C(=O)c1ccc(c(F)c1)-c1ccccc1)C(=O)NO,"US9073821, 61",8.036,active,94,78
135520,269029,COc1cc(CCC(C)(C(=O)NO)S(C)(=O)=O)ccc1-c1ccccc1,"US8853258, 171",7.836,intermediate,94,78
135471,268980,CC(CCc1ccc(c(O)c1)-c1ccc(F)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 21",7.812,intermediate,94,78
135519,269028,COc1cccc(c1)-c1ccc(CC[C@](C)(C(=O)NO)S(C)(=O)=O)cc1,"US8853258, 170",7.268,intermediate,94,78
135461,268970,C[C@@](CCc1ccc(cc1)-c1ccc(OP(O)(O)=O)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 6",7.055,intermediate,94,78
135504,269013,CC(CCc1ccc(OCc2ccccc2)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 132",9.413,potent,32,26
30619,187077,CC(CCc1ccc(OCc2ccc(Cl)cc2F)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 307",9.406,potent,32,26
30575,182496,Cc1cccc(COc2ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc2)c1F,"US8853258, 262",9.28,potent,32,26
30618,187076,CCc1ccccc1COc1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,"US8853258, 306",9.09,potent,32,26
30581,182502,CC(CCc1ccc(OCc2cccc(F)c2)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 268",9.079,potent,32,26
30622,187080,Cc1cccc(COc2ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc2)c1,"US8853258, 310",9.054,potent,32,26
30605,187063,CC(CCc1ccc(OCc2c(F)cc(F)cc2F)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 293",9.02,potent,32,26
30606,187064,CC(CCc1ccc(OCc2ccc(F)cc2F)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 294",9.003,potent,32,26
30576,182497,Cc1ccc(COc2ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc2)cc1,"US8853258, 263",8.991,active,32,26
30621,187079,CC(CCc1ccc(OCc2ccc(cc2)S(C)(=O)=O)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 309",8.917,active,32,26
30563,182484,CC(CCc1ccc(OCc2cccc(Cl)c2)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 250",8.879,active,32,26
30588,182509,CC(CCc1ccc(OCc2cc(ccc2F)C#N)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 275",8.866,active,32,26
30573,182494,Cc1ccccc1COc1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,"US8853258, 260",8.839,active,32,26
30600,187058,CC(CCc1ccc(OCc2ccc(OC(F)(F)F)cc2)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 288",8.815,active,32,26
30613,187071,CC(CCc1ccc(OCc2ccc(cc2)C(F)(F)F)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 301",8.682,active,32,26
30562,182483,CC(CCc1ccc(OCc2ccc(F)cc2C(F)(F)F)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 249",8.627,active,32,26
135473,268982,CC(CCc1ccc(COc2ccccc2)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 25",8.623,active,32,26
30587,182508,CC(CCc1ccc(OCc2cccc(OC(F)(F)F)c2)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 274",8.567,active,32,26
135576,269085,CC(CCc1ccc(COc2cccc(F)c2)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 229",8.489,active,32,26
135575,269084,CC(CCc1ccc(COc2ccc(F)cc2)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 228",8.484,active,32,26
30567,182488,Cc1ccc(C)c(COc2ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc2)c1,"US8853258, 254",8.372,active,32,26
30570,182491,Cc1cc(C)cc(COc2ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc2)c1,"US8853258, 257",8.347,active,32,26
30596,187054,CC(CCc1ccc(OCc2cc(F)ccc2C#N)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 284",8.271,active,32,26
30594,187052,CC(Oc1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1)c1ccccc1,"US8853258, 282",8.02,active,32,26
30597,187055,CC(CCc1ccc(OCc2ccccc2C#N)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 285",8,intermediate,32,26
30592,187050,CC(CCc1ccc(OCc2cc(ccc2F)C(F)(F)F)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 280",7.86,intermediate,32,26
30571,182492,CC(CCc1ccc(OCc2nc(no2)-c2c(F)cccc2F)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 258",9.223,potent,14,10
30610,187068,CC(CCc1ccc(OCc2nc(no2)-c2cccc(Cl)c2)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 298",8.78,active,14,10
30620,187078,CC(CCc1ccc(OCc2nc(no2)-c2ccccc2)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 308",8.592,active,14,10
30582,182503,Cc1ccc(cc1)-c1noc(COc2ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc2)n1,"US8853258, 269",8.458,active,14,10
30554,182475,CC(CCc1ccc(OCc2nc(no2)-c2cccc(F)c2)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 241",8.419,active,14,10
30611,187069,CC(C)c1ccc(cc1)-c1noc(COc2ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc2)n1,"US8853258, 299",8.406,active,14,10
30566,182487,CC(CCc1ccc(OCc2nc(no2)-c2cccc(F)c2F)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 253",8.275,active,14,10
30568,182489,CC(CCc1ccc(OCc2nc(no2)-c2cc(F)cc(F)c2)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 255",8.236,active,14,10
30572,182493,COc1ccc(F)c(c1)-c1noc(COc2ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc2)n1,"US8853258, 259",8.194,active,14,10
30603,187061,Cc1ccc(F)c(c1)-c1noc(COc2ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc2)n1,"US8853258, 291",8.033,active,14,10
